/home/shaheryar/Desktop/Projects/Marrine-Vessel-Detection/Dataset/Annotated_Dataset/All_Classes_Train/supply_utility_vessels_65.jpg,45,113,767,414,Supply utility vessel
/home/shaheryar/Desktop/Projects/Marrine-Vessel-Detection/Dataset/Annotated_Dataset/All_Classes_Train/military_ship_618.jpg,74,29,341,498,Military ship
/home/shaheryar/Desktop/Projects/Marrine-Vessel-Detection/Dataset/Annotated_Dataset/All_Classes_Train/1373502.jpg,35,64,736,389,Container ship
/home/shaheryar/Desktop/Projects/Marrine-Vessel-Detection/Dataset/Annotated_Dataset/All_Classes_Train/supply_utility_vessels_2573.jpg,76,14,685,477,Supply utility vessel
/home/shaheryar/Desktop/Projects/Marrine-Vessel-Detection/Dataset/Annotated_Dataset/All_Classes_Train/powerboat_1063.jpg,4,57,422,297,Power boat
/home/shaheryar/Desktop/Projects/Marrine-Vessel-Detection/Dataset/Annotated_Dataset/All_Classes_Train/3053227.jpg,42,172,732,369,Tanker
/home/shaheryar/Desktop/Projects/Marrine-Vessel-Detection/Dataset/Annotated_Dataset/All_Classes_Train/military_ship_127.jpg,62,210,715,397,Military ship
/home/shaheryar/Desktop/Projects/Marrine-Vessel-Detection/Dataset/Annotated_Dataset/All_Classes_Train/2160479.jpg,57,75,759,517,Container ship
/home/shaheryar/Desktop/Projects/Marrine-Vessel-Detection/Dataset/Annotated_Dataset/All_Classes_Train/supply_utility_vessels_854.jpg,33,111,727,366,Supply utility vessel
/home/shaheryar/Desktop/Projects/Marrine-Vessel-Detection/Dataset/Annotated_Dataset/All_Classes_Train/278865.jpg,71,241,781,382,Passenger ship
/home/shaheryar/Desktop/Projects/Marrine-Vessel-Detection/Dataset/Annotated_Dataset/All_Classes_Train/2876130.jpg,484,190,689,501,Fishing vessels
/home/shaheryar/Desktop/Projects/Marrine-Vessel-Detection/Dataset/Annotated_Dataset/All_Classes_Train/26122.jpg,69,187,742,530,Passenger ship
/home/shaheryar/Desktop/Projects/Marrine-Vessel-Detection/Dataset/Annotated_Dataset/All_Classes_Train/supply_utility_vessels_1532.jpg,67,85,732,413,Supply utility vessel
/home/shaheryar/Desktop/Projects/Marrine-Vessel-Detection/Dataset/Annotated_Dataset/All_Classes_Train/2609005.jpg,41,193,743,372,Container ship
